B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDWI,MNDWI,NDMI,NDVI,GNDVI,NPCRI,NDRE,NDBI,EVI,SAVI,ARVI,SLAVI,IBI,BSI,AVI,MSAVI
0.57043976,0.61464435,0.6358603,0.6467704,0.70641065,0.7387364,0.7162798,0.76499027,0.8210208,0.6638357,0.5697709,0.5775665,0.52110875,0.36234117,0.4302291,0.4916897,0.48164016,0.47889125,0.495179,0.25292638,0.33006507,0.110867165,0.48094782,0.503153,0.464644,0.21419452
0.3929153,0.40376568,0.38926747,0.38439986,0.45968825,0.49507788,0.51486325,0.5055967,0.508733,0.4100983,0.54106814,0.59303635,0.57187605,0.41812998,0.45893183,0.4607504,0.5422386,0.42812398,0.49524108,0.3251658,0.3792417,0.1342537,0.5338761,0.4526748,0.43227413,0.27657437
0.5818404,0.557113,0.5417377,0.56731874,0.6210901,0.6499297,0.6496924,0.65825844,0.722644,0.60211736,0.56929666,0.5770176,0.5313986,0.38409123,0.43070334,0.44448352,0.4924263,0.4686014,0.49535313,0.28520387,0.37018305,0.11740955,0.50372374,0.46530843,0.48376703,0.24364811
0.55394953,0.5117155,0.4770017,0.53149545,0.57319087,0.59227043,0.63376933,0.6019234,0.60050607,0.47722647,0.55066127,0.6181557,0.5878218,0.41894674,0.44933873,0.42409796,0.50533915,0.41217822,0.49570617,0.3383515,0.4011616,0.13842782,0.5536745,0.41940477,0.5440541,0.29311925
0.35728827,0.33451882,0.34156728,0.4378346,0.51269746,0.53440285,0.47515896,0.55557305,0.5688453,0.5091036,0.5080053,0.47917926,0.50385123,0.43538642,0.4919947,0.45139924,0.47551745,0.4961488,0.49525586,0.3438601,0.39440513,0.120789714,0.47239158,0.4877196,0.41471916,0.29190812
0.3438518,0.34916317,0.35626066,0.36128482,0.44022918,0.47002447,0.4584087,0.47585264,0.4889218,0.42179048,0.53173465,0.54357564,0.5443361,0.4092945,0.46826535,0.4725015,0.5252523,0.45566392,0.4952029,0.30619988,0.36757308,0.12559079,0.50040346,0.47630626,0.3678539,0.25696516
0.517101,0.501046,0.4982964,0.5003753,0.53731805,0.5549768,0.5072119,0.5605129,0.57322717,0.52608925,0.61249316,0.5847494,0.52454776,0.32854295,0.3875068,0.4534836,0.45361024,0.4754522,0.49514982,0.19260271,0.33618796,0.10493008,0.49339578,0.47481444,0.23657551,0.15377203
0.5476384,0.53200835,0.53407156,0.5483064,0.5887272,0.60487527,0.6132968,0.60833466,0.6872801,0.5643651,0.5727054,0.58210224,0.5284884,0.3694109,0.4272946,0.45661792,0.48493582,0.47151163,0.4952391,0.26003966,0.3549557,0.11382834,0.49369213,0.4752548,0.42197755,0.21900208
0.6555375,0.6537657,0.65715504,0.6831941,0.6833385,0.6795146,0.6488652,0.68353564,0.70233905,0.57861674,0.6194265,0.6338308,0.5410498,0.3171639,0.3805735,0.46384397,0.43247074,0.4589502,0.49512962,0.17614979,0.3237283,0.1057434,0.5022484,0.47382212,0.22395684,0.13889118
0.430171,0.43723848,0.43526405,0.44528943,0.48565087,0.4990364,0.48343068,0.50123495,0.54693574,0.46402186,0.5848716,0.5811179,0.5239042,0.35881728,0.41512838,0.4662858,0.4756185,0.4760958,0.4951721,0.2370556,0.3434045,0.11076056,0.49264824,0.4845206,0.3077355,0.1946509
